39008 84002
1 2 1.000000
3 4 0.022222
3 5 0.012048
3 6 0.500000
4 156 0.066667
4 157 0.014925
5 49 0.166667
5 66 0.066667
5 176 0.034483
5 177 0.017544
5 178 0.166667
5 179 0.012346
5 180 0.111111
5 181 0.018519
5 182 0.142857
5 183 0.027778
5 184 0.083333
5 185 1.000000
5 186 0.026316
5 187 1.000000
5 188 0.111111
5 189 0.500000
5 190 0.055556
5 191 1.000000
5 192 0.500000
5 193 0.125000
5 194 0.166667
5 195 0.055556
5 196 0.111111
5 197 0.062500
5 198 0.033333
5 199 0.076923
5 200 0.083333
5 201 1.000000
5 202 0.062500
5 203 1.000000
5 204 1.000000
6 113 0.022222
7 8 0.111111
7 9 0.083333
7 10 0.037037
7 11 0.016129
7 12 0.071429
7 13 0.050000
7 14 0.013514
7 15 0.031250
7 16 0.100000
7 17 0.033333
7 18 0.083333
7 19 0.500000
7 20 0.142857
7 21 0.333333
7 22 1.000000
7 23 0.024390
7 24 0.142857
7 25 0.047619
7 26 0.023810
7 27 0.009259
7 28 0.066667
7 29 0.027778
7 30 0.055556
7 31 0.055556
7 32 0.028571
7 33 0.111111
7 34 0.100000
7 35 0.166667
7 36 0.200000
7 37 0.052632
7 38 0.027778
7 39 0.500000
7 40 0.034483
7 41 0.142857
7 42 0.125000
7 43 0.071429
7 44 0.125000
7 45 0.058824
7 46 0.083333
7 47 0.100000
7 48 0.333333
7 49 0.166667
7 50 0.142857
7 51 0.034483
7 52 0.500000
7 53 0.200000
7 54 1.000000
7 55 0.250000
7 56 0.100000
7 57 0.125000
7 58 0.333333
7 59 0.166667
7 60 0.200000
7 61 0.166667
7 62 0.333333
7 63 0.050000
7 64 0.333333
7 65 0.200000
7 66 0.066667
7 67 0.500000
7 68 0.040000
7 69 0.333333
7 70 0.090909
7 71 1.000000
7 72 0.166667
7 73 0.500000
7 74 0.333333
7 75 0.250000
7 76 0.250000
7 77 1.000000
7 78 0.333333
7 79 1.000000
7 80 0.111111
7 81 0.500000
7 82 0.200000
7 83 0.500000
7 84 1.000000
7 85 0.142857
7 86 1.000000
7 87 1.000000
7 88 0.333333
7 89 0.142857
7 90 0.166667
7 91 0.500000
7 92 1.000000
7 93 0.500000
7 94 0.333333
7 95 1.000000
7 96 0.142857
7 97 0.500000
7 98 0.333333
7 99 1.000000
7 100 1.000000
7 101 1.000000
7 102 0.250000
7 103 1.000000
7 104 0.333333
7 105 1.000000
7 106 1.000000
7 107 1.000000
7 108 1.000000
9 68 0.040000
9 330 0.100000
9 382 0.031250
9 383 0.076923
9 384 0.028571
9 385 0.033333
9 386 0.008621
9 387 1.000000
10 159 0.050000
10 390 0.012987
10 870 0.027027
10 871 0.500000
10 872 0.010753
10 873 0.125000
11 27 0.009259
11 300 0.052632
11 320 0.055556
11 390 0.012987
11 624 0.038462
11 664 0.037037
11 861 0.026316
11 999 0.026316
11 1000 0.076923
11 1001 0.333333
11 1002 0.333333
11 1003 0.016393
11 1004 0.038462
11 1005 0.166667
11 1006 0.045455
11 1007 0.023256
11 1008 0.058824
11 1009 0.083333
11 1010 0.076923
11 1011 0.002584
12 7 0.008772
12 13 0.050000
12 140 0.083333
12 177 0.017544
12 382 0.031250
12 1194 0.250000
12 1325 0.028571
12 1326 0.142857
12 1327 0.111111
12 1328 0.200000
12 1329 0.111111
12 1330 0.125000
12 1331 1.000000
12 1332 0.166667
13 49 0.166667
13 119 0.071429
13 133 0.043478
13 365 0.021277
13 410 0.045455
13 438 0.013699
13 553 0.027778
13 675 0.500000
13 719 0.076923
13 914 0.027778
13 1038 0.058824
13 1227 0.076923
13 1333 0.500000
13 1334 0.100000
13 1335 0.062500
13 1336 0.333333
13 1337 0.050000
13 1338 0.034483
13 1339 0.019231
13 1340 0.058824
13 1341 0.015873
13 1342 0.100000
13 1343 0.200000
14 159 0.050000
14 268 0.011111
14 331 0.023256
14 336 0.025641
14 390 0.012987
14 547 0.030303
14 769 0.018519
14 826 0.016667
14 874 0.008850
14 1219 0.018182
14 1387 0.014085
14 1388 0.012987
14 1393 0.043478
14 1459 0.012821
14 1531 0.083333
14 1773 0.037037
14 1774 0.200000
14 1775 1.000000
14 1776 0.026316
14 1777 0.111111
14 1778 0.125000
14 1779 0.250000
14 1780 0.333333
15 186 0.026316
15 331 0.023256
15 338 0.009524
15 339 0.018182
15 341 0.027027
15 534 0.038462
15 561 0.034483
15 573 0.027027
15 577 0.033333
